Sales Region,Account Folder,Downloaded (docx) FileName,size (kb),pdf version link
West,West-SoCal Edison,NA-RQ-00584-After Action Report.docx,126.48,/home/user1/projects/notebooklm/Engagements-20251118T173449Z-1-001/consolidated-files/OpenShift (Self-managed)/NA-RQ-00584-After Action Report.pdf
West,West-Caterpillar Inc.,NA-RQ-00569-After Action Report.docx,126.48,/home/user1/projects/notebooklm/Engagements-20251118T173449Z-1-001/consolidated-files/OpenShift (Self-managed)/NA-RQ-00569-After Action Report.pdf
Canada,Canada-Insurance Corporation of British Columbia,NA-RQ-00531-After Action Report.docx,127.49,/home/user1/projects/notebooklm/Engagements-20251118T173449Z-1-001/consolidated-files/OpenShift (Self-managed)/NA-RQ-00531-After Action Report.pdf
West,"West-McLane Company, Inc.",NA-RQ-00511-After Action Report.docx,126.48,/home/user1/projects/notebooklm/Engagements-20251118T173449Z-1-001/consolidated-files/OpenShift (Self-managed)/NA-RQ-00511-After Action Report.pdf
East,East-Kpmg LLP,NA-RQ-00604-After Action Report.docx,126.48,/home/user1/projects/notebooklm/Engagements-20251118T173449Z-1-001/consolidated-files/OpenShift (Self-managed)/NA-RQ-00604-After Action Report.pdf
FSI,FSI-Truist,NA-RQ-00528-After Action Report.docx,126.47,/home/user1/projects/notebooklm/Engagements-20251118T173449Z-1-001/consolidated-files/OpenShift (Self-managed)/NA-RQ-00528-After Action Report.pdf
West,"West-World Wide Technology, LLC",NA-RQ-00491-After Action Report.docx,126.49,/home/user1/projects/notebooklm/Engagements-20251118T173449Z-1-001/consolidated-files/OpenShift (Self-managed)/NA-RQ-00491-After Action Report.pdf
East,"East-Lord, Abbett & Co. L.L.C.",NA-RQ-00522-After Action Report.docx,126.49,/home/user1/projects/notebooklm/Engagements-20251118T173449Z-1-001/consolidated-files/OpenShift (Self-managed)/NA-RQ-00522-After Action Report.pdf
Canada,Canada-University of Waterloo,NA-RQ-00586-After Action Report.docx,126.48,/home/user1/projects/notebooklm/Engagements-20251118T173449Z-1-001/consolidated-files/OpenShift (Self-managed)/NA-RQ-00586-After Action Report.pdf
East,"East-Metlife, Inc.",NA-RQ-00596-After Action Report.docx,126.48,/home/user1/projects/notebooklm/Engagements-20251118T173449Z-1-001/consolidated-files/OpenShift (Self-managed)/NA-RQ-00596-After Action Report.pdf
East,East-M&T Bank Corporation,NA-RQ-00619-After Action Report.docx,126.49,/home/user1/projects/notebooklm/Engagements-20251118T173449Z-1-001/consolidated-files/OpenShift (Self-managed)/NA-RQ-00619-After Action Report.pdf
West,West-OpenShift Space Adventure,NA-RQ-00554-After Action Report.docx,126.49,/home/user1/projects/notebooklm/Engagements-20251118T173449Z-1-001/consolidated-files/OpenShift (Self-managed)/NA-RQ-00554-After Action Report.pdf
East,East-American Eagle Outfitters Retail Co.,NA-RQ-00587-After Action Report.docx,126.5,/home/user1/projects/notebooklm/Engagements-20251118T173449Z-1-001/consolidated-files/OpenShift (Self-managed)/NA-RQ-00587-After Action Report.pdf
East,"East-Citizens Bank, National Association",NA-RQ-00562-After Action Report.docx,126.49,/home/user1/projects/notebooklm/Engagements-20251118T173449Z-1-001/consolidated-files/OpenShift (Self-managed)/NA-RQ-00562-After Action Report.pdf
FSI,FSI-The Goldman Sachs Group Inc,NA-RQ-00560-After Action Report.docx,126.49,/home/user1/projects/notebooklm/Engagements-20251118T173449Z-1-001/consolidated-files/OpenShift (Self-managed)/NA-RQ-00560-After Action Report.pdf
FSI,FSI-The Bank of New York Mellon Corporation,NA-RQ-00540-After Action Report.docx,126.5,/home/user1/projects/notebooklm/Engagements-20251118T173449Z-1-001/consolidated-files/OpenShift (Self-managed)/NA-RQ-00540-After Action Report.pdf
East,East-Blue Cross Blue Shield of NC,NA-RQ-00582-After Action Report.docx,126.49,/home/user1/projects/notebooklm/Engagements-20251118T173449Z-1-001/consolidated-files/OpenShift (Self-managed)/NA-RQ-00582-After Action Report.pdf
East,"East-Point72 Asset Management,  L.P.",NA-RQ-00581-After Action Report.docx,126.49,/home/user1/projects/notebooklm/Engagements-20251118T173449Z-1-001/consolidated-files/OpenShift (Self-managed)/NA-RQ-00581-After Action Report.pdf
East,"East-Publix Super Markets, Inc.",NA-RQ-00506-After Action Report.docx,127.34,/home/user1/projects/notebooklm/Engagements-20251118T173449Z-1-001/consolidated-files/OpenShift (Self-managed)/NA-RQ-00506-After Action Report.pdf
East,"East-American Electric Power Company, Inc.",NA-RQ-00484-After Action Report.docx,126.88,/home/user1/projects/notebooklm/Engagements-20251118T173449Z-1-001/consolidated-files/OpenShift (Self-managed)/NA-RQ-00484-After Action Report.pdf
